,t,ax,ay,az,gx,gy,gz
0,0.002377033233642578,1262,735,16464,20,-10,8
1,0.004753589630126953,1262,735,16464,20,-10,8
2,0.007128477096557617,1262,735,16464,20,-10,8
3,0.009502410888671875,1267,754,16472,19,-8,7
4,0.011873483657836914,1267,754,16472,19,-8,7
5,0.014240026473999023,1267,754,16472,19,-8,7
6,0.016611814498901367,1268,766,16460,16,-6,7
7,0.018985986709594727,1268,766,16460,16,-6,7
8,0.021359682083129883,1268,766,16460,16,-6,7
9,0.023733139038085938,1276,773,16437,12,-1,6
10,0.026105403900146484,1276,773,16437,12,-1,6
11,0.028477907180786133,1276,773,16437,12,-1,6
12,0.03085017204284668,1268,765,16428,9,4,6
13,0.03322291374206543,1268,765,16428,9,4,6
14,0.035594940185546875,1268,765,16428,9,4,6
15,0.037967681884765625,1277,763,16425,5,7,4
16,0.04034066200256348,1277,763,16425,5,7,4
17,0.04271268844604492,1277,763,16425,2,10,3
18,0.04508471488952637,1271,761,16434,2,10,3
19,0.04745793342590332,1271,761,16434,2,10,3
20,0.04983115196228027,1271,761,16434,-2,15,2
21,0.05220389366149902,1259,773,16468,-2,15,2
22,0.05457639694213867,1259,773,16468,-2,15,2
23,0.05695080757141113,1259,773,16468,-6,19,0
24,0.05932474136352539,1235,760,16518,-6,19,0
25,0.061696529388427734,1235,760,16518,-6,19,0
26,0.06406688690185547,1235,760,16518,-9,22,0
27,0.06643295288085938,1196,751,16580,-9,22,0
28,0.06880450248718262,1196,751,16580,-9,22,0
29,0.07118725776672363,1196,751,16580,-11,24,0
30,0.07356047630310059,1139,759,16654,-11,24,0
31,0.07593131065368652,1139,759,16654,-11,24,0
32,0.07829713821411133,1139,759,16654,-13,22,1
33,0.08066964149475098,1098,771,16701,-13,22,1
34,0.08304381370544434,1098,771,16701,-13,22,1
35,0.08541703224182129,1098,771,16701,-13,15,1
36,0.08778929710388184,1072,764,16741,-13,15,1
37,0.09016108512878418,1072,764,16741,-13,15,1
38,0.09253430366516113,1072,764,16741,-12,5,3
39,0.09490704536437988,1071,768,16759,-12,5,3
40,0.09728002548217773,1071,768,16759,-12,5,3
41,0.09965324401855469,1089,775,16763,-9,-5,5
42,0.10202574729919434,1089,775,16763,-9,-5,5
43,0.10439777374267578,1089,775,16763,-9,-5,5
44,0.10677027702331543,1115,776,16769,-8,-11,8
45,0.10914468765258789,1115,776,16769,-8,-11,8
46,0.11151838302612305,1115,776,16769,-8,-11,8
47,0.1138911247253418,1137,730,16745,-4,-19,10
48,0.11626362800598145,1137,730,16745,-4,-19,10
49,0.11863589286804199,1137,730,16745,-4,-19,10
50,0.12100982666015625,1162,709,16717,-1,-25,12
51,0.1233832836151123,1162,709,16717,-1,-25,12
52,0.12575435638427734,1162,709,16717,-1,-25,12
53,0.1281280517578125,1187,717,16689,2,-29,14
54,0.13050103187561035,1187,717,16689,2,-29,14
55,0.1328732967376709,1187,717,16689,2,-29,14
56,0.13526201248168945,1214,700,16671,5,-33,15
57,0.13763427734375,1214,700,16671,5,-33,15
58,0.14000654220581055,1214,700,16671,5,-33,15
59,0.142378568649292,1240,666,16659,7,-37,14
60,0.14475131034851074,1240,666,16659,7,-37,14
61,0.1471250057220459,1240,666,16659,7,-37,14
62,0.14949727058410645,1252,650,16640,8,-38,13
63,0.1518692970275879,1252,650,16640,8,-38,13
64,0.15424180030822754,1252,650,16640,8,-38,13
65,0.1566162109375,1271,667,16622,7,-36,12
66,0.15898847579956055,1271,667,16622,7,-36,12
67,0.1613612174987793,1271,667,16622,5,-35,11
68,0.16373372077941895,1278,663,16601,5,-35,11
69,0.1661069393157959,1278,663,16601,5,-35,11
70,0.16847968101501465,1278,663,16601,5,-36,9
71,0.170851469039917,1289,669,16560,5,-36,9
72,0.17322421073913574,1289,669,16560,5,-36,9
73,0.1755967140197754,1289,669,16560,5,-35,8
74,0.17796874046325684,1311,703,16487,5,-35,8
75,0.18034124374389648,1311,703,16487,5,-35,8
76,0.18271374702453613,1311,703,16487,4,-32,8
77,0.18509125709533691,1324,737,16411,4,-32,8
78,0.18746423721313477,1324,737,16411,4,-32,8
79,0.1898355484008789,1324,737,16411,5,-27,7
80,0.19220876693725586,1348,728,16356,5,-27,7
81,0.1945810317993164,1348,728,16356,5,-27,7
82,0.19695353507995605,1348,728,16356,6,-21,6
83,0.1993269920349121,1351,720,16307,6,-21,6
84,0.20169854164123535,1351,720,16307,6,-21,6
85,0.204071044921875,1351,720,16307,4,-11,4
86,0.20644330978393555,1352,723,16283,4,-11,4
87,0.208815336227417,1352,723,16283,4,-11,4
88,0.21118879318237305,1345,712,16301,3,0,3
89,0.2135608196258545,1345,712,16301,3,0,3
90,0.21593260765075684,1345,712,16301,3,0,3
91,0.21830487251281738,1336,689,16338,1,10,3
92,0.22067761421203613,1336,689,16338,1,10,3
93,0.2230522632598877,1336,689,16338,1,10,3
94,0.22542428970336914,1327,666,16386,0,17,2
95,0.227797269821167,1327,666,16386,0,17,2
96,0.23016929626464844,1327,666,16386,0,17,2
97,0.2325425148010254,1306,623,16427,-2,22,1
98,0.23491477966308594,1306,623,16427,-2,22,1
99,0.2372879981994629,1306,623,16427,-2,22,1
100,0.23966026306152344,1282,621,16457,-4,27,0
101,0.24203205108642578,1282,621,16457,-4,27,0
102,0.24440455436706543,1282,621,16457,-4,27,0
103,0.24677729606628418,1244,651,16480,-5,32,0
104,0.24915027618408203,1244,651,16480,-5,32,0
105,0.2515223026275635,1244,651,16480,-5,32,0
106,0.253894567489624,1195,694,16515,-6,35,1
107,0.256267786026001,1195,694,16515,-6,35,1
108,0.2586400508880615,1195,694,16515,-6,35,1
109,0.2610146999359131,1166,683,16580,-4,33,2
110,0.26338815689086914,1166,683,16580,-4,33,2
111,0.2657601833343506,1166,683,16580,-4,33,2
112,0.26813268661499023,1163,693,16639,1,29,1
113,0.2705042362213135,1163,693,16639,1,29,1
114,0.2728767395019531,1163,693,16639,5,26,0
115,0.2752501964569092,1149,758,16666,5,26,0
116,0.2776215076446533,1149,758,16666,5,26,0
117,0.27999377250671387,1149,758,16666,9,24,1
118,0.2823662757873535,1134,760,16709,9,24,1
119,0.28473854064941406,1134,760,16709,9,24,1
120,0.2871110439300537,1134,760,16709,13,19,2
121,0.28948354721069336,1109,735,16765,13,19,2
122,0.2918562889099121,1109,735,16765,13,19,2
123,0.29422807693481445,1109,735,16765,16,10,3
124,0.2966001033782959,1105,754,16775,16,10,3
125,0.29897165298461914,1105,754,16775,16,10,3
126,0.3013436794281006,1105,754,16775,16,3,5
127,0.30371546745300293,1103,779,16782,16,3,5
128,0.3060910701751709,1103,779,16782,16,3,5
129,0.30846452713012695,1103,779,16782,17,-3,6
130,0.3108372688293457,1093,787,16783,17,-3,6
131,0.31320881843566895,1093,787,16783,17,-3,6
132,0.3155808448791504,1093,787,16783,17,-10,7
133,0.31795334815979004,1078,789,16773,17,-10,7
134,0.3203258514404297,1078,789,16773,17,-10,7
135,0.32269787788391113,1073,812,16745,16,-19,8
136,0.3250865936279297,1073,812,16745,16,-19,8
137,0.32746124267578125,1073,812,16745,16,-19,8
138,0.3298335075378418,1097,819,16722,15,-26,9
139,0.33220601081848145,1097,819,16722,15,-26,9
140,0.3345787525177002,1097,819,16722,15,-26,9
141,0.33695220947265625,1129,794,16694,10,-33,9
142,0.3393256664276123,1129,794,16694,10,-33,9
143,0.34169697761535645,1129,794,16694,10,-33,9
144,0.3440694808959961,1167,753,16655,6,-37,8
145,0.34644222259521484,1167,753,16655,6,-37,8
146,0.3488144874572754,1167,753,16655,6,-37,8
147,0.35118818283081055,1193,725,16606,2,-39,6
148,0.3535597324371338,1193,725,16606,2,-39,6
149,0.35593414306640625,1193,725,16606,2,-39,6
150,0.3583061695098877,1214,708,16567,-3,-37,5
151,0.36067891120910645,1214,708,16567,-3,-37,5
152,0.3630528450012207,1214,708,16567,-3,-37,5
153,0.36542606353759766,1231,699,16524,-7,-35,5
154,0.3677997589111328,1231,699,16524,-7,-35,5
155,0.37017154693603516,1231,699,16524,-7,-35,5
156,0.372544527053833,1240,694,16485,-9,-31,4
157,0.37491655349731445,1240,694,16485,-9,-31,4
158,0.3772895336151123,1240,694,16485,-9,-31,4
159,0.37966203689575195,1258,683,16443,-9,-28,3
160,0.3820350170135498,1258,683,16443,-9,-28,3
161,0.38440775871276855,1258,683,16443,-9,-22,3
162,0.38677978515625,1284,675,16415,-9,-22,3
163,0.38915252685546875,1284,675,16415,-9,-22,3
164,0.3915255069732666,1284,675,16415,-6,-15,3
165,0.39389824867248535,1288,682,16414,-6,-15,3
166,0.3962705135345459,1288,682,16414,-6,-15,3
167,0.39864253997802734,1288,682,16414,-3,-10,3
168,0.4010159969329834,1297,677,16418,-3,-10,3
169,0.40338945388793945,1297,677,16418,-3,-10,3
170,0.4057607650756836,1297,677,16418,2,-6,3
171,0.40813326835632324,1299,672,16428,2,-6,3
