,t,ax,ay,az,gx,gy,gz
0,0.0023779869079589844,486,677,16648,1,-51,-5
1,0.004754543304443359,486,677,16648,1,-51,-5
2,0.007129192352294922,486,677,16648,1,-51,-5
3,0.009501934051513672,489,685,16630,7,-43,-5
4,0.011875629425048828,489,685,16630,7,-43,-5
5,0.014264345169067383,489,685,16630,7,-43,-5
6,0.01663804054260254,464,696,16606,16,-38,-8
7,0.019011259078979492,464,696,16606,16,-38,-8
8,0.021384239196777344,464,696,16606,16,-38,-8
9,0.0237576961517334,450,706,16577,28,-38,-8
10,0.02613067626953125,450,706,16577,28,-38,-8
11,0.0285031795501709,450,706,16577,28,-38,-8
12,0.03087592124938965,437,740,16567,33,-38,-9
13,0.033247947692871094,437,740,16567,33,-38,-9
14,0.03562021255493164,437,740,16567,33,-38,-9
15,0.037992238998413086,448,741,16556,34,-36,-10
16,0.04036688804626465,448,741,16556,34,-36,-10
17,0.0427403450012207,448,741,16556,35,-33,-12
18,0.04511237144470215,460,738,16563,35,-33,-12
19,0.0474851131439209,460,738,16563,35,-33,-12
20,0.04985809326171875,460,738,16563,36,-31,-15
21,0.0522305965423584,525,736,16584,36,-31,-15
22,0.05460309982299805,525,736,16584,36,-31,-15
23,0.0569758415222168,525,736,16584,35,-26,-15
24,0.05934858322143555,586,756,16616,35,-26,-15
25,0.061720848083496094,586,756,16616,35,-26,-15
26,0.06409478187561035,586,756,16616,32,-19,-15
27,0.06646943092346191,625,756,16656,32,-19,-15
28,0.06884169578552246,625,756,16656,32,-19,-15
29,0.07121419906616211,625,756,16656,31,-10,-14
30,0.07358670234680176,639,772,16686,31,-10,-14
31,0.07596015930175781,639,772,16686,31,-10,-14
32,0.07833409309387207,639,772,16686,28,-3,-14
33,0.08070611953735352,617,787,16697,28,-3,-14
34,0.08307886123657227,617,787,16697,28,-3,-14
35,0.08545160293579102,617,787,16697,23,6,-13
36,0.08782362937927246,585,802,16687,23,6,-13
37,0.09019708633422852,585,802,16687,23,6,-13
38,0.09256982803344727,548,806,16667,14,14,-12
39,0.09494280815124512,548,806,16667,14,14,-12
40,0.09731483459472656,548,806,16667,14,14,-12
41,0.09968781471252441,519,810,16627,8,19,-11
42,0.10206007957458496,519,810,16627,8,19,-11
43,0.1044321060180664,519,810,16627,8,19,-11
44,0.10680532455444336,493,795,16602,3,23,-11
45,0.1091775894165039,493,795,16602,3,23,-11
46,0.11155080795288086,493,795,16602,3,23,-11
47,0.1139230728149414,481,767,16582,-1,25,-12
48,0.11629509925842285,481,767,16582,-1,25,-12
49,0.1186683177947998,481,767,16582,-1,25,-12
50,0.12104129791259766,466,723,16564,-2,26,-13
51,0.1234140396118164,466,723,16564,-2,26,-13
52,0.12578606605529785,466,723,16564,-2,26,-13
53,0.12816262245178223,466,696,16551,3,24,-13
54,0.13053655624389648,466,696,16551,3,24,-13
55,0.13290810585021973,466,696,16551,3,24,-13
56,0.13528037071228027,459,705,16545,12,22,-15
57,0.13765311241149902,459,705,16545,12,22,-15
58,0.14002656936645508,459,705,16545,12,22,-15
59,0.14239954948425293,454,699,16547,19,25,-16
60,0.14477086067199707,454,699,16547,19,25,-16
61,0.14714384078979492,454,699,16547,19,25,-16
62,0.14951610565185547,426,724,16571,25,27,-17
63,0.15188860893249512,426,724,16571,25,27,-17
64,0.15426230430603027,426,724,16571,30,29,-18
65,0.15663576126098633,410,746,16617,30,29,-18
66,0.15900826454162598,410,746,16617,30,29,-18
67,0.16138076782226562,410,746,16617,29,29,-18
68,0.16375327110290527,389,798,16654,29,29,-18
69,0.16612720489501953,389,798,16654,29,29,-18
70,0.16849970817565918,389,798,16654,22,28,-18
71,0.17087221145629883,376,804,16676,22,28,-18
72,0.17324447631835938,376,804,16676,22,28,-18
73,0.17561721801757812,376,804,16676,16,22,-18
74,0.17798972129821777,359,792,16685,16,22,-18
75,0.18036174774169922,359,792,16685,16,22,-18
76,0.18273401260375977,359,792,16685,11,14,-16
77,0.18511152267456055,379,798,16671,11,14,-16
78,0.1874840259552002,379,798,16671,11,14,-16
79,0.18985605239868164,379,798,16671,6,8,-14
80,0.1922285556793213,386,796,16634,6,8,-14
81,0.19460153579711914,386,796,16634,6,8,-14
82,0.19697356224060059,386,796,16634,1,3,-11
83,0.19934630393981934,402,781,16592,1,3,-11
84,0.20171856880187988,402,781,16592,1,3,-11
85,0.20409226417541504,402,781,16592,-1,1,-10
86,0.206467866897583,410,761,16567,-1,1,-10
87,0.20883941650390625,410,761,16567,-1,1,-10
88,0.2112133502960205,422,751,16578,-3,-1,-9
89,0.21358561515808105,422,751,16578,-3,-1,-9
90,0.2159581184387207,422,751,16578,-3,-1,-9
91,0.21833205223083496,417,749,16612,-6,-2,-8
92,0.2207040786743164,417,749,16612,-6,-2,-8
93,0.22307825088500977,417,749,16612,-6,-2,-8
94,0.2254502773284912,406,765,16627,-8,-5,-5
95,0.22782278060913086,406,765,16627,-8,-5,-5
96,0.23019647598266602,406,765,16627,-8,-5,-5
97,0.23256897926330566,398,777,16655,-10,-12,-5
98,0.2349412441253662,398,777,16655,-10,-12,-5
99,0.23731374740600586,398,777,16655,-10,-12,-5
100,0.2396841049194336,402,786,16673,-14,-20,-4
101,0.2420492172241211,402,786,16673,-14,-20,-4
102,0.24442315101623535,402,786,16673,-14,-20,-4
103,0.2467968463897705,439,790,16672,-21,-29,-3
104,0.24916911125183105,439,790,16672,-21,-29,-3
105,0.2515387535095215,439,790,16672,-21,-29,-3
106,0.2539045810699463,490,774,16630,-29,-33,-3
107,0.25628137588500977,490,774,16630,-29,-33,-3
108,0.2586548328399658,490,774,16630,-29,-33,-3
109,0.2610282897949219,539,751,16574,-33,-27,-5
110,0.26340174674987793,539,751,16574,-33,-27,-5
111,0.2657747268676758,539,751,16574,-35,-19,-7
112,0.26814842224121094,559,711,16563,-35,-19,-7
113,0.2705216407775879,559,711,16563,-35,-19,-7
114,0.27289295196533203,559,711,16563,-31,-7,-9
115,0.2752659320831299,555,700,16553,-31,-7,-9
116,0.27763795852661133,555,700,16553,-31,-7,-9
117,0.2800107002258301,555,700,16553,-27,3,-10
118,0.28238439559936523,510,683,16567,-27,3,-10
119,0.2847561836242676,510,683,16567,-27,3,-10
120,0.287128210067749,510,683,16567,-19,8,-11
121,0.28950071334838867,436,657,16597,-19,8,-11
122,0.29187440872192383,436,657,16597,-19,8,-11
123,0.2942473888397217,436,657,16597,-9,3,-12
124,0.29661989212036133,365,711,16637,-9,3,-12
125,0.2989926338195801,365,711,16637,-9,3,-12
126,0.30136537551879883,365,711,16637,-7,-10,-11
127,0.3037376403808594,310,757,16702,-7,-10,-11
128,0.3061099052429199,310,757,16702,-7,-10,-11
129,0.3084836006164551,310,757,16702,-12,-25,-11
