,t,ax,ay,az,gx,gy,gz
0,0.0024178028106689453,397,1005,16594,-115,53,-383
1,0.00480341911315918,397,1005,16594,-105,46,-387
2,0.007183551788330078,354,1053,16591,-105,46,-387
3,0.009562492370605469,354,1053,16591,-105,46,-387
4,0.011940717697143555,354,1053,16591,-107,47,-386
5,0.014319181442260742,307,1131,16592,-107,47,-386
6,0.016698122024536133,307,1131,16592,-107,47,-386
7,0.019076824188232422,307,1131,16592,-122,60,-376
8,0.021456003189086914,255,1204,16564,-122,60,-376
9,0.02383589744567871,255,1204,16564,-122,60,-376
10,0.026214122772216797,255,1204,16564,-153,85,-360
11,0.028592586517333984,256,1220,16541,-153,85,-360
12,0.03097081184387207,256,1220,16541,-153,85,-360
13,0.03335070610046387,273,1164,16538,-196,120,-349
14,0.035729408264160156,273,1164,16538,-196,120,-349
15,0.038106441497802734,273,1164,16538,-196,120,-349
16,0.040485382080078125,180,1028,16716,-232,150,-346
17,0.04286360740661621,180,1028,16716,-232,150,-346
18,0.045241594314575195,180,1028,16716,-232,150,-346
19,0.04761958122253418,99,812,16672,-203,122,-363
20,0.04999566078186035,99,812,16672,-203,122,-363
21,0.052373647689819336,99,812,16672,-203,122,-363
22,0.05475139617919922,66,886,16687,-162,91,-395
23,0.057129621505737305,66,886,16687,-162,91,-395
24,0.05950808525085449,66,886,16687,-162,91,-395
25,0.06188774108886719,110,896,16640,-136,69,-425
26,0.06426596641540527,110,896,16640,-136,69,-425
27,0.06664443016052246,110,896,16640,-136,69,-425
28,0.06902241706848145,129,1047,16651,-101,42,-465
29,0.07139992713928223,129,1047,16651,-101,42,-465
30,0.0737767219543457,129,1047,16651,-101,42,-465
31,0.0761556625366211,248,962,16856,0,-38,-481
32,0.07853317260742188,248,962,16856,0,-38,-481
33,0.08091187477111816,248,962,16856,0,-38,-481
34,0.08328938484191895,590,855,16731,135,-146,-475
35,0.08566689491271973,590,855,16731,135,-146,-475
36,0.08804535865783691,590,855,16731,158,-163,-461
37,0.0904233455657959,974,995,16421,158,-163,-461
38,0.09280014038085938,974,995,16421,158,-163,-461
39,0.09517836570739746,974,995,16421,68,-92,-454
40,0.09755682945251465,1009,1150,16333,68,-92,-454
41,0.09993553161621094,1009,1150,16333,68,-92,-454
42,0.10231304168701172,1009,1150,16333,-47,-2,-451
43,0.1046905517578125,901,1136,16401,-47,-2,-451
44,0.10706806182861328,901,1136,16401,-47,-2,-451
45,0.10944676399230957,901,1136,16401,-137,65,-445
46,0.11182498931884766,808,1082,16493,-137,65,-445
47,0.11420226097106934,808,1082,16493,-137,65,-445
48,0.11658048629760742,808,1082,16493,-189,108,-438
49,0.1189577579498291,819,993,16702,-189,108,-438
50,0.12133598327636719,819,993,16702,-189,108,-438
51,0.12371468544006348,819,993,16702,-175,92,-435
52,0.12609148025512695,1036,965,16654,-175,92,-435
53,0.12846708297729492,1036,965,16654,-175,92,-435
54,0.13083791732788086,1036,965,16654,-143,71,-430
55,0.13321471214294434,1325,1126,16649,-143,71,-430
56,0.13559293746948242,1325,1126,16649,-143,71,-430
57,0.1379697322845459,1573,1169,16609,-138,66,-413
58,0.14034628868103027,1573,1169,16609,-138,66,-413
59,0.14272212982177734,1573,1169,16609,-138,66,-413
60,0.14509868621826172,1822,1197,16601,-133,62,-382
61,0.14748072624206543,1822,1197,16601,-133,62,-382
62,0.1498575210571289,1822,1197,16601,-133,62,-382
63,0.15223383903503418,2033,1290,16569,-128,59,-358
